Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,-9.275777817,-4.316651821,-2.16131711,32.34000015,152.0399933,83.44000244,0,0,0
0,-9.089137077,-4.231706619,-2.401795864,32.54999924,142.8699951,82.80999756,0,0,0
0,-8.8474617,-4.253840446,-2.322832584,31.5,137.1999969,82.25,0,0,0
0,-8.72423172,-4.013959885,-2.254039049,30.59000015,133.6999969,80.63999939,0,0,0
0,-8.171489716,-4.048058033,-2.49272275,28.06999969,128.5899963,78.81999969,0,0,0
0,-8.508278847,-3.94576478,-1.822732806,27.51000023,119.1399994,77.55999756,0,0,0
0,-8.246862411,-3.588635683,-2.629113674,27.09000015,109.1999969,76.37000275,0,0,0
0,-9.414560318,-3.127418995,-3.372085094,26.60000038,98.06999969,76.09000397,0,0,0
0,-9.525229454,-3.059822321,-3.074178934,26.88000107,84.48999786,76.09000397,0,0,0
0,-9.419345856,-2.984448195,-3.106482029,27.37000084,71.88999939,75.73999786,0,0,0
0,-9.013165474,-2.699702024,-3.182454109,27.09000015,60.97000122,75.59999847,0,0,0
0,-8.821140289,-2.572882414,-3.214158773,27.93000031,48.09000015,75.87999725,0,0,0
0,-8.77866745,-2.54656148,-3.059822321,27.37000084,33.18000031,76.01999664,0,0,0
0,-8.815158844,-2.486740828,-3.083750248,27.79000092,15.05000019,75.38999939,0,0,0
0,-8.625527382,-2.691327333,-2.736791134,28.97999954,-1.190000057,74.97000122,0,0,0
0,-8.954540253,-2.602194786,-2.696711063,28.63000107,-12.25,74.26999664,0,0,0
0,-8.783453941,-2.352144718,-3.134597778,29.12000084,-20.44000053,73.15000153,0,0,0
0,-9.60419178,-2.839682579,-1.919043899,28.90999985,-25.8202,72.09999847,0,0,0
0,-9.958330154,-2.733799934,-2.432304144,28.77000046,-31.71000099,71.61000061,0,0,0
0,-9.928419113,-2.602792978,-2.568096876,28.70000076,-36.04999924,70.48999786,0,0,0
0,-10.48176003,-2.365305185,-2.821736097,29.46999931,-39.68999863,69.72000122,0,0,0
0,-10.90409279,-2.218146563,-2.86480689,29.26000023,-40.31999969,68.80999756,0,0,0
0,-10.99202919,-2.045265198,-3.446861029,30.10000038,-39.47999954,67.83000183,0,0,0
0,-11.29173088,-1.942971945,-3.580260992,30.59000015,-38.56999969,67.41000366,0,0,0
0,-11.70269775,-1.554736495,-3.499503136,31.5,-37.52000046,67.62000275,0,0,0
0,-11.44726372,-1.092323542,-3.99063015,31.0702,-34.72000122,66.5,0,0,0
0,-11.70329666,-0.9792627096,-3.995415449,31.29000092,-32.90000153,65.09999847,0,0,0
0,-12.09272671,-0.7010970712,-4.007977962,31.36000061,-30.72999954,64.47000122,0,0,0
0,-12.75733471,-0.4133601189,-3.859622955,31.14999962,-28.77000046,63.06999969,0,0,0
0,-13.22812176,-0.151944235,-4.101297855,30.59000015,-27.22999954,62.2024,0,0,0
0,-13.95314789,0.2877369225,-4.124628067,30.7024,-25.12999916,61.38999939,0,0,0
0,-14.90130329,0.2739781737,-4.008576393,30.59000015,-23.7024,60.20000076,0,0,0
0,-15.60060501,1.144965529,-4.66839695,30.17000008,-21.28000069,59.01000214,0,0,0
0,-17.17448616,2.252842426,-4.67976284,30.03000069,-19.18000031,57.68000031,0,0,0
0,-18.19741631,2.65364027,-5.906084538,29.88999939,-16.7024,56.70000076,0,0,0
0,-19.49312973,4.253242016,-5.964708805,30.87000084,-16.03000069,55.86000061,0,0,0
0,-19.59721756,5.915655613,-6.933802128,30.7024,-13.72000027,54.74000168,0,0,0
0,15.69691753,18.44387817,16.12104416,30.72999954,-10.71000004,53.13000107,0,0,0
0,3.116651535,16.83530235,11.24746227,30.52000046,-7.55043,51.86999893,0,0,0
0,19.59721756,19.22752571,19.59422684,31.01000023,-4.130000114,50.75,0,0,0
0,19.59721756,14.24088383,19.47338867,30.38000107,2.58014,49,0,0,0
0,19.59721756,10.41176987,13.31964779,21.70000076,42.63000107,38.77999878,0,0,0
0,8.167900085,0.5676971674,-4.595416069,21.13999939,40.18000031,38.00999832,0,0,0
0,7.940581322,1.213759303,-3.156731367,20.44000053,38.70999908,37.59000015,0,0,0
0,8.538787842,1.749153256,-3.824926853,20.02000046,35.77000046,37.38000107,0,0,0
0,9.701700211,2.272583246,-4.205984116,19.53000069,32.75999832,37.02999878,0,0,0
0,11.13200951,2.555534601,-3.052643299,18.40999985,29.61000061,36.75,0,0,0
0,19.36272049,1.740778446,-11.21037388,17.36000061,26.88000107,36.68000031,0,0,0
0,18.84706688,1.347159028,-11.37847042,17.5,24.0702,36.88999939,0,0,0
0,18.9864502,1.423131227,-12.10648632,16.7024,22.75,36.61000061,0,0,0
0,17.86242104,1.266999602,-11.3635149,16.72999954,22.12000084,37.31000137,0,0,0
0,17.27438545,1.469791293,-10.74556923,16.30999947,21.13999939,37.38000107,0,0,0
0,14.97907066,1.290927887,-11.54058456,15.11999989,21.70000076,37.17000198,0,0,0
0,15.85663795,0.8464610577,-12.73639679,14.6081,23.10000038,37.72999954,0,0,0
0,16.88614845,0.9984052181,-13.30947685,13.2300005,25.69000053,37.7024,0,0,0
0,17.64108467,1.840080619,-14.08176136,12.94999981,27.15999985,37.65999985,0,0,0
0,8.171489716,4.802993298,-3.726821423,11.1081,30.23999977,37.7024,0,0,0
0,7.98903656,4.297509193,-2.559722185,9.590000153,33.25,38.63999939,0,0,0
0,7.112665176,3.749553204,-2.056032896,8.050000191,36.18999863,38.77999878,0,0,0
0,6.426523209,3.652045488,-2.636292219,7.630000114,37.93999863,39.97000122,0,0,0
0,5.990431786,3.961318016,-2.721835852,-12.39000034,101.5699997,45.70999908,0,0,0
0,8.224131584,7.180860996,-3.225525141,-15.5306,114.3799973,45.22000122,0,0,0
0,8.224131584,7.242476463,-2.854637384,-18.8202,126.6299973,44.65999985,0,0,0
0,8.380263329,7.342974663,-2.536392212,-21.90999985,137.4100037,44.59000015,0,0,0
0,8.486743927,6.934400082,-2.447857618,-25.54999924,147.2799988,44.52000046,0,0,0
0,8.651847839,6.714260578,-2.598007202,-28.48999977,154.2100067,44.86999893,0,0,0
0,8.711071014,6.334400177,-2.671586514,-31.56999969,157.8500061,45.00999832,0,0,0
0,8.453244209,5.920441151,-2.416152716,-34.58000183,158.6900024,44.72999954,0,0,0
0,8.708678246,5.812166691,-2.25104785,-37.24000168,156.2400055,44.38000107,0,0,0
0,8.362317085,5.325227261,-2.550150633,-39.97000122,149.9400024,43.95999908,0,0,0
0,7.987241745,5.0321064,-2.307877541,-42.42000198,141.6100006,43.33000183,0,0,0
